Event_type,Issued_time,Country,Areas,Regions,Date,coordinates,geo_location
Special Weather Statement issued September 17 at 5:32PM MDT  by NWS BoiseSpecial Weather Statement,10 minutes ago,United States of America,Boise Mountains; Lower Treasure Valley; West Central Mountains...,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 23:42,"Boise Mountains; Lower Treasure Valley; West Central Mountains..., United States of America","(39.87281180000001, -105.0732771)"
Marine Weather Statement issued September 17 at 7:32PM EDT  by NWS JacksonvilleMarine Weather Statement,10 minutes ago,United States of America,Coastal waters from Altamaha Sound to Fernandina Beach FL out 20 NM; Coastal waters from Fernandina Beach to St. Augustine FL out 20 NM; Waters from Altamaha Sound GA to Fernandina Beach FL from 20 to 60 NM; Waters from Fernandina Beach to St. Augustine FL from 20 to 60 NM...,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 23:42,"Coastal waters from Altamaha Sound to Fernandina Beach FL out 20 NM; Coastal waters from Fernandina Beach to St. Augustine FL out 20 NM; Waters from Altamaha Sound GA to Fernandina Beach FL from 20 to 60 NM; Waters from Fernandina Beach to St. Augustine FL from 20 to 60 NM..., United States of America","(31.3183605, -81.29317309999999)"
"Flooding - Warnings for Ijsselmeergebied - Nederlandawareness_type=12,awareness_level=2.0",12 minutes ago,Netherlands,Ijsselmeergebied,Region VI - Europe,2022-09-17 23:42,"Ijsselmeergebied, Netherlands","(52.79783210000001, 5.323590299999999)"
Severe Thunderstorm Warning issued September 17 at 6:30PM CDT until September 17 at 7:30PM CDT by NWS WichitaSevere Thunderstorm Warning,12 minutes ago,United States of America,Lincoln,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 23:42,"Lincoln, United States of America","(40.813616, -96.7025955)"
Flood Advisory issued September 17 at 7:30PM EDT until September 20 at 2:00AM EDT by NWS MelbourneFlood Advisory,12 minutes ago,United States of America,Brevard,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 23:42,"Brevard, United States of America","(35.2334472, -82.7342919)"
Flood Advisory issued September 17 at 7:30PM EDT until further notice by NWS MelbourneFlood Advisory,12 minutes ago,United States of America,Okeechobee,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 23:42,"Okeechobee, United States of America","(27.2439349, -80.82978279999999)"
Flood Advisory issued September 17 at 7:30PM EDT until further notice by NWS MelbourneFlood Advisory,12 minutes ago,United States of America,Indian River,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 23:42,"Indian River, United States of America","(27.6947732, -80.54384499999999)"
Severe Thunderstorm Warning issued September 17 at 6:28PM CDT until September 17 at 6:45PM CDT by NWS Eastern ND and Grand ForksSevere Thunderstorm Warning,14 minutes ago,United States of America,Beltrami,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 23:42,"Beltrami, United States of America","(48.0370038, -94.82892389999999)"
Flood Warning for Nile RiverRiverine Flood,14 minutes ago,Australia,Tasmania: Nile River,Region V - South West Pacific,2022-09-17 23:42,"Tasmania: Nile River, Australia","(-41.61471946373825, 147.5010160360958)"
Minor Flood Warning for St Pauls River and St Pauls River at Lewis HillRiverine Flood,14 minutes ago,Australia,Tasmania: St Pauls River and St Pauls River at Lewis Hill...,Region V - South West Pacific,2022-09-17 23:42,"Tasmania: St Pauls River and St Pauls River at Lewis Hill..., Australia","(-41.81594615197416, 147.8803806629128)"
Unclassified Severity in generalised prediction type warnings Flood Warning for South Esk River above FingalRiverine Flood,14 minutes ago,Australia,Tasmania: South Esk River above Fingal,Region V - South West Pacific,2022-09-17 23:42,"Tasmania: South Esk River above Fingal, Australia","(-41.44638565757682, 147.1183323619952)"
Flood Warning for South Esk River - Perth to LongfordRiverine Flood,14 minutes ago,Australia,Tasmania: South Esk River - Perth to Longford,Region V - South West Pacific,2022-09-17 23:42,"Tasmania: South Esk River - Perth to Longford, Australia","(-31.9523123, 115.861309)"
"Minor Flood Warning for South Esk River - Fingal to Llewellyn, South Esk River at Fingal and South Esk River at LlewellynRiverine Flood",14 minutes ago,Australia,"Tasmania: South Esk River - Fingal to Llewellyn, South Esk River at Fingal and South Esk River at Llewellyn...",Region V - South West Pacific,2022-09-17 23:42,"Tasmania: South Esk River - Fingal to Llewellyn, South Esk River at Fingal and South Esk River at Llewellyn..., Australia","(-41.6386, 147.9672)"
Unclassified Severity in generalised prediction type warnings Flood Warning for Break O'Day RiverRiverine Flood,14 minutes ago,Australia,Tasmania: Break O'Day River,Region V - South West Pacific,2022-09-17 23:42,"Tasmania: Break O'Day River, Australia","(-41.60576635397533, 147.9961417616194)"
Minor Flood Warning for South Esk River - Llewellyn to Perth and South Esk at PerthRiverine Flood,14 minutes ago,Australia,Tasmania: South Esk River - Llewellyn to Perth and South Esk at Perth...,Region V - South West Pacific,2022-09-17 23:42,"Tasmania: South Esk River - Llewellyn to Perth and South Esk at Perth..., Australia","(-31.9523123, 115.861309)"
Bengbu Meteorological Bureau issued a yellow early warning for heavy fog [Level III/severe]Dense fog,15 minutes ago,China,Municipal district,Region II - Asia,2022-09-17 23:42,"Municipal district, China","(35.86166, 104.195397)"
Special Weather Statement issued September 17 at 5:27PM MDT  by NWS GreatFallsSpecial Weather Statement,15 minutes ago,United States of America,Canyon Ferry Area; Elkhorn and Boulder Mountains; Helena Valley; Upper Blackfoot and MacDonald Pass...,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 23:42,"Canyon Ferry Area; Elkhorn and Boulder Mountains; Helena Valley; Upper Blackfoot and MacDonald Pass..., United States of America","(40.0149856, -105.2705456)"
Severe Thunderstorm Warning issued September 17 at 6:27PM CDT until September 17 at 7:15PM CDT by NWS DesMoinesSevere Thunderstorm Warning,15 minutes ago,United States of America,Lucas; Monroe,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 23:42,"Lucas; Monroe, United States of America","(37.09024, -95.712891)"
Special Weather Statement issued September 17 at 6:26PM CDT  by NWS Dodge CitySpecial Weather Statement,16 minutes ago,United States of America,Edwards; Pawnee; Stafford,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 23:42,"Edwards; Pawnee; Stafford, United States of America","(38.4220687, -77.4083086)"
Special Weather Statement issued September 17 at 6:24PM CDT  by NWS DuluthSpecial Weather Statement,18 minutes ago,United States of America,North Cass,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2022-09-17 23:42,"North Cass, United States of America","(47.3361178, -94.1155536)"
RainRain,in 11 minutes,Russian Federation,North of Khabarovsk Krai,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"North of Khabarovsk Krai, Russian Federation","(50.5888431, 135)"
ForestfireForestfire,in 11 minutes,Russian Federation,Kirov Region,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Kirov Region, Russian Federation","(58.4198529, 50.2097248)"
ForestfireForestfire,in 11 minutes,Russian Federation,Republic of Buryatia,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Republic of Buryatia, Russian Federation","(54.83311459999999, 112.4060529)"
High temperatureHigh temperature,in 11 minutes,Russian Federation,Kurgan Region,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Kurgan Region, Russian Federation","(55.4481548, 65.11809749999999)"
WindWind,in 11 minutes,Russian Federation,Sverdlovsk Region,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Sverdlovsk Region, Russian Federation","(59.007735, 61.9316226)"
FogFog,in 11 minutes,Russian Federation,Republic of Khakassia,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Republic of Khakassia, Russian Federation","(53.0452281, 90.3982145)"
FogFog,in 11 minutes,Russian Federation,Nenets Autonomous District,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Nenets Autonomous District, Russian Federation","(67.6078337, 57.63383309999999)"
RainRain,in 11 minutes,Russian Federation,north of Amur Region,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"north of Amur Region, Russian Federation","(54.60350649999999, 127.4801721)"
ForestfireForestfire,in 11 minutes,Russian Federation,Mari El Republic,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Mari El Republic, Russian Federation","(56.438457, 47.9607757)"
ForestfireForestfire,in 11 minutes,Russian Federation,Nizhny Novgorod Region,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Nizhny Novgorod Region, Russian Federation","(55.7995159, 44.0296769)"
FogFog,in 11 minutes,Russian Federation,Karachay-Cherkess Republic,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Karachay-Cherkess Republic, Russian Federation","(43.8845143, 41.730394)"
ThunderstormsThunderstorms,in 11 minutes,Russian Federation,Stavropol Krai,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Stavropol Krai, Russian Federation","(44.6680993, 43.520214)"
WindWind,in 11 minutes,Russian Federation,Bryansk Region,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Bryansk Region, Russian Federation","(53.0408599, 33.2690899)"
FreezeFreeze,in 11 minutes,Russian Federation,Coast of ​​Okhotsk Sea,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Coast of ​​Okhotsk Sea, Russian Federation","(59.35845999999999, 143.203491)"
ThunderstormsThunderstorms,in 11 minutes,Russian Federation,Krasnodar Krai,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Krasnodar Krai, Russian Federation","(45.6415289, 39.7055977)"
WindWind,in 11 minutes,Russian Federation,Moscow,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Moscow, Russian Federation","(55.755826, 37.6173)"
FogFog,in 11 minutes,Russian Federation,Moscow,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Moscow, Russian Federation","(55.755826, 37.6173)"
ForestfireForestfire,in 11 minutes,Russian Federation,Altai Krai,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Altai Krai, Russian Federation","(51.7936298, 82.6758596)"
RainRain,in 11 minutes,Russian Federation,Perm Krai,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Perm Krai, Russian Federation","(58.8231929, 56.5872481)"
WindWind,in 11 minutes,Russian Federation,South of Kamchatka Krai,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"South of Kamchatka Krai, Russian Federation","(61.43439809999999, 166.7884131)"
ForestfireForestfire,in 11 minutes,Russian Federation,Altai Republic,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Altai Republic, Russian Federation","(50.6181924, 86.2199308)"
FogFog,in 11 minutes,Russian Federation,Moscow Region,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Moscow Region, Russian Federation","(55.340396, 38.2917651)"
WindWind,in 11 minutes,Russian Federation,North of Yamalo-Nenets Autonomous District,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"North of Yamalo-Nenets Autonomous District, Russian Federation","(66.0653057, 76.9345194)"
WindWind,in 11 minutes,Russian Federation,Kursk Region,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Kursk Region, Russian Federation","(51.76340260000001, 35.3811812)"
RainRain,in 11 minutes,Russian Federation,Voronezh Region,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Voronezh Region, Russian Federation","(50.8589713, 39.8644375)"
WindWind,in 11 minutes,Russian Federation,Tambov Region,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Tambov Region, Russian Federation","(52.6416589, 41.4216451)"
RainRain,in 11 minutes,Russian Federation,Tambov Region,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Tambov Region, Russian Federation","(52.6416589, 41.4216451)"
ThunderstormsThunderstorms,in 11 minutes,Russian Federation,Tambov Region,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Tambov Region, Russian Federation","(52.6416589, 41.4216451)"
ThunderstormsThunderstorms,in 11 minutes,Russian Federation,Oryol Region,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Oryol Region, Russian Federation","(52.7856414, 36.9242344)"
FogFog,in 11 minutes,Russian Federation,Tomsk Region,Region II - AsiaRegion VI - Europe,2022-09-18 01:04,"Tomsk Region, Russian Federation","(58.8969882, 82.67654999999999)"
